trajectory,X_index1,x_index2,x1,y1,x2,y2,A,B,duration,length
227,1,86,0,-53.60698741450084,21.25,-80.24441764705884,-53.60698741450084,-1.2535261285909642,21.25,-26.637430232557996
227,86,247,21.25,37.7328405797101,61.5,-2.9802760869564793,59.227343167701775,-1.0115060041407846,40.25,-40.71311666666658
227,247,264,61.5,231.85170588232904,65.75,-84.14416911766875,4804.49789705876,-74.35197058823465,4.25,-315.9958749999978
227,264,315,65.75,-150.54960180995477,78.5,113.12042588235272,-1510.2597446153839,20.680002171945688,12.75,263.6700276923075
227,315,431,78.5,-72.6295981432362,107.5,84.70938245877056,-498.5299421865994,5.425482089724372,29,157.33898060200676
227,431,522,107.5,-45.570448638319476,130.25,90.4664586080579,-688.3822081541684,5.979644274566037,22.75,136.03690724637738
227,522,560,130.25,-66.23145748986246,139.75,-142.82305832146164,983.8797012802223,-8.062273771747291,9.5,-76.59160083159918
227,560,610,139.75,63.01480705883205,152.25,29.42332326531431,438.56759587035987,-2.6873187034814157,12.5,-33.59148379351774
227,610,683,152.25,172.84175046279734,170.5,-100.75346575342019,2455.3004720474078,-14.99151869677905,18.25,-273.5952162162175
227,683,714,170.5,166.22665927417984,178.25,-128.26470322582463,6645.036634274278,-37.99888548387155,7.75,-294.49136250000447
227,714,821,178.25,92.29285358255083,205,223.0416586139902,-778.9585294774141,4.887805795567826,26.75,130.74880503143936
227,821,919,205,105.66282745826084,229.5,410.39288743952875,-2444.1193070788786,12.437961631888484,24.5,304.7300599812679
227,919,990,229.5,278.1346302816637,247.25,63.93498028166505,3047.645597887282,-12.06758591549289,17.75,-214.19964999999866
227,990,1030,247.25,249.12625365850909,257.25,-128.96406153847965,9597.409296904058,-37.809031519698884,10,-378.09031519698874
227,1030,1117,257.25,141.96641483805456,279,84.22573830528836,824.8992441738761,-2.654743748632931,21.75,-57.7406765327662
227,1117,1224,279,205.17481308416882,305.75,394.50647346152414,-1769.5367101039494,7.0778190795273055,26.75,189.33166037735532
227,1224,1270,305.75,493.8752025898648,317.25,121.70185507212409,10388.831811594138,-32.362899784151345,11.5,-372.1733475177407
227,1270,1356,317.25,253.76616519656181,338.75,358.56528974017556,-1292.6302190574581,4.874377885749472,21.5,104.79912454361374
227,1356,1370,338.75,209.1779714295758,342.25,244.37710989110383,-3197.5957868111936,10.056896703293784,3.5,35.19913846152804
227,1370,1408,342.25,47.539064777838576,351.75,430.27131010011,-13740.89366801666,40.28760477076552,9.5,382.7322453222714
227,1408,1456,351.75,191.26035204023628,363.75,358.42984574409365,-4708.895432154061,13.930791141988054,12,167.16949370385737
227,1456,1545,363.75,635.20259850206,386,211.135592441472,7567.983427919531,-19.059191283621914,22.25,-424.067006060588
227,1545,1551,386,11.625476181798149,387.5,-268.52566667532665,72103.85290474664,-186.76742857141153,1.5,-280.1511428571248
227,1551,1797,387.5,95.44010348572613,449,131.87850791438362,-134.15146913386363,0.59249438095378,61.5,36.43840442865749
227,1797,1827,449,364.7579956987065,456.5,-174.0391678163105,32620.748184797707,-71.83962180200223,7.5,-538.797163515017
227,1827,1872,456.5,93.9942328502043,467.75,49.30693838380148,1907.3053371980177,-3.972203952569142,11.25,-44.68729446640282
227,1872,1929,467.75,-216.90681669680043,482,-325.29922556374095,3341.0264638303147,-7.60648483276775,14.25,-108.39240886694051
227,1929,2014,482,-606.6251452804237,503.25,-576.0085655461254,-1301.0812126654484,1.4407802227905078,21.25,30.616579734298284
227,2014,2088,503.25,-725.8717945944791,521.75,-608.605663087676,-3915.8275070700793,6.33870981117854,18.5,117.26613150680305
227,2088,2133,521.75,-756.4534444423025,533,-417.92158080583977,-16456.80898687109,30.091721212129922,11.25,338.53186363646273
227,2133,2171,533,-664.5646194329962,542.5,-649.1985362729845,-1526.682758831552,1.6174824378959771,9.5,15.366083160011726
227,2171,2197,542.5,-528.2425299267634,549,3968.8931322952267,-375866.1035692236,691.8670249572292,6.5,4497.13566222199
227,2197,2269,549,4317.722794141489,567,4518.494479265883,-1805.8136021525365,11.153982506910793,18,200.77168512439312
227,2269,2315,567,4342.463661417915,578.5,4576.83182028264,-7212.905562608093,20.379839901280437,11.5,234.36815886472505
